gene_id	transcript_id
ABCB9	rna-XM_036080266.1
ABCB9	rna-XM_036080276.1
ABCB9	rna-XM_036080289.1
ABCC1	rna-XM_036115484.1
ABCC1	rna-XM_036115485.1
ABCC1	rna-XR_004924547.1
ABCC1	MSTRG.9062.9
ABCC1	MSTRG.9062.1
ABCC1	MSTRG.9062.4
ABCC1	MSTRG.9062.13
ABCC1	MSTRG.9062.15
ABCC10	rna-XM_036124018.1
ABCC10	rna-XM_036124019.1
ABCC10	rna-XR_004927135.1
ABCC11	rna-XM_036124325.1
ABCC11	rna-XM_036124324.1
ABCC12	rna-XM_036124326.1
ABCC12	rna-XM_036124327.1
ABCC2	rna-XM_036116950.1
ABCC3	rna-XM_036076302.1
ABCC3	rna-XR_004912181.1
ABCC3	rna-XM_036076304.1
ABCC3	rna-XM_036076303.1
ABCC3	rna-XM_036076305.1
ABCC3	rna-XM_036076306.1
ABCC3	MSTRG.16351.6
ABCC3	MSTRG.16351.9
ABCC3	MSTRG.16351.14
ABCC3	MSTRG.16351.11
ABCC3	MSTRG.16351.12
ABCC3	MSTRG.16351.13
ABCC3	MSTRG.16351.8
ABCC3	MSTRG.16351.15
ABCC4	rna-XM_036080097.1
ABCC4	rna-XM_036080098.1
ABCC4	rna-XM_036080095.1
ABCC4	rna-XM_036080096.1
ABCC4	rna-XM_036080099.1
ABCC4	MSTRG.17698.6
ABCC5	rna-XM_036122455.1
ABCC5	rna-XM_036122454.1
ABCC5	rna-XR_004926615.1
ABCC5	rna-XM_036122459.1
ABCC5	rna-XM_036122456.1
ABCC5	rna-XM_036122457.1
ABCC5	MSTRG.11514.8
ABCC5	MSTRG.11514.9
ABCC5	MSTRG.11514.13
ABCC6	rna-XM_036115486.1
ABCC6	rna-XM_036115487.1
ABCC6	rna-XM_036115488.1
ABCC8	rna-XM_036116339.1
ABCC8	rna-XM_036116336.1
ABCC8	rna-XM_036116337.1
ABCC8	rna-XM_036116338.1
ABCC8	rna-XM_036116343.1
ABCC8	rna-XM_036116340.1
ABCC8	rna-XM_036116341.1
ABCC8	rna-XM_036116342.1
ABCC8	rna-XM_036116344.1
ABCC8	rna-XM_036116347.1
ABCC8	rna-XM_036116349.1
ABCC8	rna-XM_036116346.1
ABCC8	rna-XM_036116348.1
ABCC9	rna-XM_036119208.1
ABCC9	rna-XM_036119219.1
ABCC9	rna-XM_036119221.1
ABCC9	rna-XM_036119216.1
ABCC9	rna-XM_036119215.1
ABCC9	rna-XM_036119209.1
ABCC9	rna-XM_036119218.1
ABCC9	rna-XM_036119210.1
ABCC9	rna-XM_036119212.1
ABCC9	rna-XM_036119211.1
ABCC9	rna-XM_036119220.1
ABCC9	rna-XM_036119217.1
ABCC9	MSTRG.10317.14
ABCC9	MSTRG.10317.11
ABCC9	MSTRG.10317.15
ABCD2	rna-XM_036074444.1
ABCD2	rna-XM_036074445.1
ABCD3	rna-XM_036122699.1
ABCD3	rna-XM_036122698.1
ABCD3	rna-XM_036122700.1
ABCD3	MSTRG.11589.3
ABCD4	rna-XM_036117779.1
ABCD4	rna-XM_036117789.1
ABCD4	rna-XM_036117777.1
ABCD4	rna-XM_036117778.1
ABCD4	rna-XM_036117783.1
ABCD4	rna-XR_004925236.1
ABCD4	rna-XR_004925239.1
ABCD4	rna-XM_036117785.1
ABCD4	rna-XR_004925238.1
ABCD4	rna-XR_004925237.1
ABCD4	rna-XM_036117784.1
ABCD4	rna-XM_036117780.1
ABCD4	rna-XM_036117781.1
ABCD4	rna-XM_036117788.1
ABCD4	rna-XM_036117786.1
ABCD4	rna-XM_036117790.1
ABCD4	rna-XM_036117782.1
ABCD4	MSTRG.9823.20
ABCD4	MSTRG.9823.17
ABCD4	MSTRG.9823.15
ABCE1	rna-XM_036079167.1
ABCE1	MSTRG.17337.2
ABCF1	rna-XM_036120387.1
ABCF1	rna-XM_036120390.1
ABCF1	rna-XM_036120391.1
ABCF3	rna-XM_036122477.1
ABCF3	rna-XM_036122479.1
ABCF3	rna-XM_036122478.1
ABCG1	rna-XM_036097277.1
ABCG1	rna-XM_036097276.1
ABCG1	MSTRG.2768.3
ABCG1	MSTRG.2768.2
ABCG1	MSTRG.2768.1
ABCG2	rna-XM_036122710.1
ABCG2	rna-XM_036122713.1
ABCG2	rna-XM_036122711.1
ABCG2	rna-XM_036122714.1
ABCG2	rna-XM_036122712.1
ABCG2	rna-XM_036122715.1
ABCG2	MSTRG.11593.11
ABCG2	MSTRG.11593.6
ABCG4	rna-XM_036090789.1
ABCG4	rna-XM_036090787.1
ABCG4	rna-XM_036090788.1
ABCG4	rna-XM_036090790.1
ABCG5	rna-XM_036073711.1
ABCG8	rna-XM_036073712.1
ABHD1	rna-XM_036090294.1
ABHD10	rna-XM_036066585.1
ABHD10	MSTRG.12923.2
ABHD10	MSTRG.12923.3
ABHD10	MSTRG.12923.4
ABHD11	rna-XR_004923677.1
ABHD11	rna-XM_036112567.1
ABHD11	rna-XM_036112568.1
ABHD11	MSTRG.8099.4
ABHD12	rna-XM_036110024.1
ABHD12	rna-XM_036110027.1
ABHD12	rna-XM_036110026.1
ABHD12	rna-XM_036110025.1
ABHD12	rna-XM_036110022.1
ABHD12	rna-XM_036110021.1
ABHD12	rna-XM_036110023.1
ABHD12	rna-XM_036110028.1
ABHD12	MSTRG.7219.4
ABHD12	MSTRG.7219.16
ABHD12	MSTRG.7219.14
ABHD12	MSTRG.7219.3
ABHD12	MSTRG.7219.15
ABHD12B	rna-XM_036111009.1
ABHD12B	rna-XM_036111022.1
ABHD12B	rna-XM_036111015.1
ABHD12B	MSTRG.767.3
ABHD12B	MSTRG.767.2
ABHD13	rna-XM_036087327.1
ABHD13	rna-XM_036087328.1
ABHD13	rna-XM_036087329.1
ABHD13	MSTRG.20111.2
ABHD13	MSTRG.20111.6
ABHD14B	rna-XM_036074928.1
ABHD14B	MSTRG.15893.3
ABHD14B	MSTRG.15893.1
ABHD15	rna-XM_036111878.1
ABHD15	rna-XM_036111898.1
ABHD15	rna-XM_036111888.1
ABHD15	MSTRG.807.2
ABHD15	MSTRG.807.3
ABHD15	MSTRG.807.1
ABHD16A	rna-XM_036108284.1
ABHD16A	rna-XM_036108286.1
ABHD16A	rna-XM_036108285.1
ABHD16A	MSTRG.6593.4
ABHD16B	rna-XM_036085347.1
ABHD17A	rna-XM_036069987.1
ABHD17B	rna-XM_036080031.1
ABHD17B	rna-XM_036080037.1
ABHD17B	rna-XM_036080047.1
ABHD17B	rna-XM_036080052.1
ABHD17B	MSTRG.1839.1
ABHD17B	MSTRG.1836.5
ABHD17C	rna-XM_036079161.1
ABHD18	rna-XM_036079420.1
ABHD18	MSTRG.17462.7
ABHD18	MSTRG.17462.6
ABHD18	MSTRG.17462.2
ABHD2	rna-XM_036072658.1
ABHD2	rna-XM_036072674.1
ABHD2	rna-XM_036072688.1
ABHD2	rna-XM_036072678.1
ABHD2	rna-XM_036072670.1
ABHD2	rna-XM_036072666.1
ABHD3	rna-XM_036079258.1
ABHD3	MSTRG.17374.1
ABHD4	rna-XM_036114836.1
ABHD4	rna-XM_036114831.1
ABHD4	rna-XM_036114832.1
ABHD4	rna-XM_036114838.1
ABHD4	rna-XM_036114837.1
ABHD4	rna-XM_036114833.1
ABHD4	MSTRG.8818.10
ABHD5	rna-XM_036118816.1
ABHD6	rna-XM_036071719.1
ABHD6	rna-XM_036071716.1
ABHD6	rna-XM_036071715.1
ABHD6	rna-XM_036071718.1
ABHD6	rna-XM_036071717.1
ABHD6	MSTRG.14751.6
ABHD6	MSTRG.14751.7
ABHD8	rna-XM_036118863.1
ABHD8	rna-XM_036118862.1
ABI1	rna-XM_036092311.1
ABI1	rna-XM_036092312.1
ABI1	rna-XM_036092309.1
ABI1	rna-XM_036092310.1
ABI1	rna-XM_036092305.1
ABI1	rna-XM_036092308.1
ABI1	rna-XM_036092306.1
ABI1	rna-XM_036092304.1
ABI1	MSTRG.21843.1
ABI1	MSTRG.21843.2
ABI2	rna-XM_036073875.1
ABI2	rna-XM_036073907.1
ABI2	rna-XM_036073904.1
ABI2	rna-XM_036073902.1
ABI2	rna-XM_036073905.1
ABI2	rna-XM_036073903.1
ABI2	rna-XM_036073900.1
ABI2	rna-XM_036073899.1
ABI2	rna-XM_036073901.1
ABI2	rna-XM_036073898.1
ABI2	rna-XM_036073897.1
ABI2	rna-XM_036073892.1
ABI2	rna-XM_036073887.1
ABI2	rna-XM_036073886.1
ABI2	rna-XM_036073891.1
ABI2	rna-XM_036073888.1
ABI2	rna-XM_036073893.1
ABI2	rna-XM_036073876.1
ABI2	rna-XM_036073877.1
ABI2	rna-XM_036073881.1
ABI2	rna-XM_036073885.1
ABI2	rna-XM_036073882.1
ABI2	rna-XM_036073896.1
ABI2	rna-XM_036073883.1
ABI2	rna-XM_036073871.1
ABI2	rna-XM_036073890.1
ABI2	rna-XM_036073894.1
ABI2	rna-XM_036073889.1
ABI2	rna-XM_036073874.1
ABI2	rna-XM_036073868.1
ABI2	rna-XM_036073872.1
ABI2	rna-XM_036073878.1
ABI2	rna-XM_036073870.1
ABI2	rna-XM_036073880.1
ABI2	rna-XM_036073869.1
ABI2	rna-XM_036073879.1
ABI2	rna-XM_036073867.1
ABI2	rna-XM_036073866.1
ABI2	MSTRG.15548.2
ABI3	rna-XM_036095076.1
ABI3	rna-XM_036095084.1
ABITRAM	rna-XM_036091398.1
ABL1	rna-XM_036117061.1
ABL1	rna-XM_036117062.1
ABL1	rna-XM_036117066.1
ABL1	rna-XM_036117063.1
ABL1	rna-XM_036117065.1
ABL2	rna-XM_036120927.1
ABL2	rna-XM_036120928.1
ABL2	rna-XM_036120933.1
ABL2	rna-XM_036120926.1
ABL2	rna-XM_036120925.1
ABL2	rna-XM_036120932.1
ABL2	rna-XM_036120930.1
ABL2	rna-XM_036120929.1
ABL2	MSTRG.10994.1
ABL2	MSTRG.10994.3
ABLIM1	rna-XM_036075702.1
ABLIM1	rna-XM_036075724.1
ABLIM1	rna-XM_036075719.1
ABLIM1	rna-XM_036075720.1
ABLIM1	rna-XM_036075721.1
ABLIM1	rna-XM_036075722.1
ABLIM1	rna-XM_036075715.1
ABLIM1	rna-XM_036075716.1
ABLIM1	rna-XM_036075713.1
ABLIM1	rna-XM_036075718.1
ABLIM1	rna-XM_036075712.1
ABLIM1	rna-XM_036075711.1
ABLIM1	rna-XM_036075725.1
ABLIM1	rna-XM_036075723.1
ABLIM1	rna-XM_036075706.1
ABLIM1	rna-XM_036075707.1
ABLIM1	rna-XM_036075708.1
ABLIM1	rna-XM_036075705.1
ABLIM1	rna-XM_036075717.1
ABLIM1	rna-XM_036075714.1
ABLIM1	rna-XM_036075709.1
ABLIM1	rna-XM_036075703.1
ABLIM1	MSTRG.16184.25
ABLIM1	MSTRG.16185.1
ABLIM2	rna-XM_036104416.1
ABLIM2	rna-XM_036104414.1
ABLIM2	rna-XM_036104415.1
ABLIM2	rna-XM_036104413.1
ABLIM2	rna-XM_036104412.1
ABLIM2	rna-XM_036104410.1
ABLIM2	rna-XM_036104411.1
ABLIM2	rna-XM_036104408.1
ABLIM2	rna-XM_036104401.1
ABLIM2	rna-XM_036104405.1
ABLIM2	rna-XM_036104409.1
ABLIM2	rna-XM_036104406.1
ABLIM2	rna-XM_036104407.1
ABLIM2	rna-XM_036104404.1
ABLIM2	rna-XM_036104403.1
ABLIM2	rna-XM_036104402.1
ABLIM2	rna-XR_004921056.1
ABLIM2	rna-XM_036104400.1
ABLIM2	rna-XM_036104399.1
ABLIM2	rna-XM_036104398.1
ABLIM2	rna-XM_036104397.1
ABLIM2	rna-XM_036104396.1
ABLIM2	MSTRG.5256.23
ABLIM2	MSTRG.5256.24
ABLIM3	rna-XM_036080613.1
ABLIM3	rna-XM_036080610.1
ABLIM3	rna-XM_036080611.1
ABLIM3	rna-XM_036080612.1
ABLIM3	rna-XM_036080615.1
ABLIM3	rna-XM_036080616.1
ABLIM3	rna-XM_036080617.1
ABLIM3	rna-XM_036080618.1
ABLIM3	rna-XM_036080619.1
ABLIM3	rna-XM_036080620.1
ABO	rna-XM_036108149.1
ABO	rna-XM_036108180.1
ABO	rna-XM_036108171.1
ABO	rna-XM_036108165.1
ABO	rna-XM_036108160.1
ABR	rna-XM_036073026.1
ABR	rna-XM_036073029.1
ABR	rna-XM_036073027.1
ABR	rna-XM_036073028.1
ABR	rna-XM_036073030.1
ABRA	rna-XM_036083885.1
ABRACL	rna-XM_036097895.1
ABRACL	rna-XM_036097894.1
ABRAXAS1	rna-XM_036121305.1
ABRAXAS2	rna-XM_036103082.1
ABT1	rna-XM_036112313.1
ABTB1	rna-XM_036078509.1
ABTB1	rna-XM_036078513.1
ABTB1	rna-XM_036078510.1
ABTB1	rna-XM_036078511.1
ABTB1	rna-XR_004912899.1
ABTB1	rna-XM_036078512.1
ABTB2	rna-XM_036107038.1
ABTB2	rna-XM_036107048.1
ABTB2	rna-XM_036107029.1
ABTB2	rna-XM_036107031.1
ABTB2	rna-XM_036107059.1
ABTB2	rna-XM_036107023.1
ABTB2	rna-XM_036107067.1
ACAA1	rna-XM_036094197.1
ACAA1	rna-XM_036094199.1
ACAA1	rna-XM_036094198.1
ACAA2	rna-XM_036078213.1
ACACA	rna-XM_036104783.1
ACACA	MSTRG.5394.5
ACACA	MSTRG.5394.6
ACACA	MSTRG.5394.3
ACACA	MSTRG.5394.4
ACACA	MSTRG.5396.1
ACACA	MSTRG.5394.7
ACACA	MSTRG.5394.2
ACACB	rna-XM_036085976.1
ACACB	MSTRG.19662.5
ACACB	MSTRG.19662.2
ACACB	MSTRG.19662.4
ACAD10	rna-XM_036080561.1
ACAD10	rna-XM_036080564.1
ACAD10	rna-XM_036080565.1
ACAD10	rna-XM_036080567.1
ACAD10	rna-XM_036080568.1
ACAD10	rna-XM_036080569.1
ACAD10	rna-XM_036080563.1
ACAD10	rna-XM_036080562.1
ACAD10	rna-XM_036080570.1
ACAD10	MSTRG.17817.1
ACAD11	rna-XM_036089937.1
ACAD8	rna-XM_036088132.1
ACAD8	rna-XM_036088131.1
ACAD8	rna-XM_036088135.1
ACAD8	rna-XM_036088134.1
ACAD8	rna-XM_036088133.1
ACAD8	MSTRG.20367.6
ACAD8	MSTRG.20367.12
ACAD8	MSTRG.20367.17
ACAD9	rna-XM_036099695.1
ACAD9	rna-XM_036099696.1
ACAD9	MSTRG.3614.4
ACADL	rna-XM_036098762.1
ACADL	MSTRG.3277.2
ACADM	rna-XM_036117765.1
ACADS	rna-XM_036078668.1
ACADSB	rna-XM_036074948.1
ACADSB	rna-XM_036074950.1
ACADSB	rna-XM_036074949.1
ACADSB	rna-XM_036074951.1
ACADSB	MSTRG.15898.8
ACADSB	MSTRG.15898.3
ACADSB	MSTRG.15898.2
ACADVL	rna-XM_036066273.1
ACADVL	rna-XM_036066272.1
ACADVL	MSTRG.12801.3
ACADVL	MSTRG.12800.16
ACAN	rna-XM_036072744.1
ACAN	rna-XM_036072737.1
ACAN	rna-XM_036072752.1
ACAN	rna-XM_036072760.1
ACAN	rna-XM_036072768.1
ACAN	rna-XM_036072774.1
ACAN	rna-XM_036072782.1
ACAN	rna-XM_036072786.1
ACAP1	rna-XM_036066299.1
ACAP1	rna-XM_036066298.1
ACAP2	rna-XM_036114407.1
ACAP2	rna-XM_036114408.1
ACAP2	rna-XM_036114406.1
ACAP2	rna-XR_004924251.1
ACAP3	rna-XM_036089669.1
ACAP3	rna-XM_036089667.1
ACAP3	rna-XM_036089668.1
ACAP3	rna-XM_036089670.1
ACAT1	rna-XM_036087731.1
ACAT1	rna-XM_036087733.1
ACAT1	MSTRG.20254.3
ACAT2	rna-XM_036110056.1
ACAT2	rna-XM_036110057.1
ACBD3	rna-XM_036118065.1
ACBD3	rna-XM_036118064.1
ACBD3	rna-XM_036118067.1
ACBD3	rna-XM_036118068.1
ACBD3	MSTRG.9905.3
ACBD4	rna-XM_036116801.1
ACBD4	rna-XM_036116803.1
ACBD4	rna-XM_036116798.1
ACBD4	rna-XM_036116805.1
ACBD4	rna-XM_036116799.1
ACBD4	rna-XM_036116796.1
ACBD4	rna-XM_036116797.1
ACBD4	rna-XM_036116804.1
ACBD4	rna-XM_036116802.1
ACBD4	rna-XM_036116793.1
ACBD4	rna-XM_036116800.1
ACBD4	rna-XM_036116794.1
ACBD4	rna-XM_036116808.1
ACBD4	rna-XM_036116807.1
ACBD4	rna-XR_004924948.1
ACBD4	MSTRG.9475.2
ACBD4	MSTRG.9475.8
ACBD4	MSTRG.9475.21
ACBD4	MSTRG.9475.22
ACBD4	MSTRG.9475.7
ACBD5	rna-XM_036085618.1
ACBD5	MSTRG.19521.6
ACBD5	MSTRG.19521.5
ACBD5	MSTRG.19521.4
ACBD5	MSTRG.19521.1
ACBD5	MSTRG.19521.2
ACBD5	MSTRG.19521.3
ACBD6	rna-XM_036109106.1
ACBD6	rna-XM_036109112.1
ACBD6	rna-XM_036109109.1
ACBD6	rna-XM_036109110.1
ACBD6	rna-XM_036109108.1
ACBD6	rna-XM_036109107.1
ACBD6	rna-XM_036109111.1
ACBD6	rna-XM_036109105.1
ACBD6	rna-XM_036109113.1
ACBD6	MSTRG.6915.11
ACBD6	MSTRG.6915.1
ACBD6	MSTRG.6915.13
ACBD6	MSTRG.6915.10
ACBD7	rna-XM_036097027.1
ACCS	rna-XM_036097690.1
ACCS	rna-XM_036097688.1
ACCS	rna-XM_036097689.1
ACCS	MSTRG.2935.4
ACCSL	rna-XM_036097687.1
ACCSL	MSTRG.2931.3
ACD	rna-XM_036115066.1
ACD	MSTRG.8957.2
ACE2	rna-XM_036107289.1
ACER1	rna-XM_036120664.1
ACER1	rna-XM_036120665.1
ACER1	MSTRG.10904.3
ACER2	rna-XM_036091740.1
ACER2	MSTRG.21652.2
ACER2	MSTRG.21652.6
ACER2	MSTRG.21652.7
ACER2	MSTRG.21652.3
ACER3	rna-XM_036072992.1
ACER3	MSTRG.15213.1
ACER3	MSTRG.18522.4
ACER3	MSTRG.18522.6
ACER3	MSTRG.15212.2
ACHE	rna-XM_036073386.1
ACHE	rna-XM_036073385.1
ACHE	rna-XM_036073387.1
ACHE	rna-XM_036073388.1
ACHE	MSTRG.15369.4
ACIN1	rna-XM_036114773.1
ACIN1	rna-XM_036114775.1
ACIN1	rna-XM_036114776.1
ACIN1	rna-XM_036114774.1
ACIN1	rna-XM_036114778.1
ACIN1	rna-XM_036114777.1
ACIN1	MSTRG.8867.1
ACKR1	rna-XM_036069778.1
ACKR2	rna-XM_036080277.1
ACKR2	rna-XM_036080274.1
ACKR2	rna-XM_036080273.1
ACKR2	rna-XM_036080272.1
ACKR2	rna-XM_036080275.1
ACKR2	rna-XM_036080278.1
ACKR3	rna-XM_036065460.1
ACKR3	rna-XM_036065461.1
ACKR3	rna-XM_036065459.1
ACKR3	rna-XM_036065462.1
ACKR4	rna-XM_036089954.1
ACLY	rna-XM_036069147.1
ACLY	rna-XM_036069148.1
ACMSD	rna-XM_036106943.1
ACMSD	rna-XM_036106941.1
ACMSD	rna-XM_036106940.1
ACO1	rna-XM_036065038.1
ACO1	rna-XM_036065039.1
ACO1	rna-XM_036065037.1
ACO1	MSTRG.12400.5
ACO2	rna-XM_036072630.1
ACO2	rna-XM_036072629.1
ACOD1	rna-XM_036107374.1
ACOD1	rna-XM_036107382.1
ACOT11	rna-XM_036113996.1
ACOT11	rna-XM_036113999.1
ACOT11	rna-XM_036113995.1
ACOT11	rna-XM_036113998.1
ACOT11	rna-XM_036113997.1
ACOT11	MSTRG.8599.6
ACOT11	MSTRG.8599.7
ACOT12	rna-XM_036067179.1
ACOT12	rna-XM_036067164.1
ACOT12	rna-XM_036067171.1
ACOT13	rna-XM_036112199.1
ACOT13	MSTRG.7964.1
ACOT13	MSTRG.7964.3
ACOT6	rna-XM_036117833.1
ACOT7	rna-XM_036064483.1
ACOT7	rna-XM_036064487.1
ACOT7	rna-XM_036064482.1
ACOT7	rna-XM_036064485.1
ACOT7	rna-XM_036064486.1
ACOT7	MSTRG.12239.7
ACOT8	rna-XM_036075417.1
ACOT8	rna-XM_036075418.1
ACOT8	rna-XM_036075419.1
ACOT8	MSTRG.16071.8
ACOT9	rna-XM_036073979.1
ACOT9	rna-XM_036073980.1
ACOT9	rna-XM_036073981.1
ACOT9	rna-XM_036073978.1
ACOT9	rna-XM_036073977.1
ACOT9	MSTRG.15579.1
ACOX1	rna-XM_036088540.1
ACOX1	rna-XM_036088541.1
ACOX1	rna-XM_036088542.1
ACOX2	rna-XM_036071733.1
ACOX2	rna-XM_036071726.1
ACOX2	rna-XM_036071730.1
ACOX2	rna-XM_036071728.1
ACOX2	rna-XM_036071729.1
ACOX2	rna-XR_004910721.1
ACOX2	rna-XR_004910722.1
ACOX2	rna-XM_036071731.1
ACOX2	rna-XM_036071732.1
ACOX3	rna-XM_036085688.1
